title,content,status,posttype,thumbnail,proposedtype,sources,coords,proposeddate,,,,
Ajax Copper Mine,Copper and gold open pit mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,50.61233|-120.412388,,,,,
Aley Niobium,"10,000 tonne per day open-pit niobium (rare metal) mine.",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,56.466|-123.749,,,,,
Angus Frac Sand Quarry,Open pit frac sand mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,54.358|-122.353,,,,,
Anyox Hydro Electric Project,26 mw Hydro Electric Project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,55.416|-129.824,,,,,
Arctos Anthracite (formerly Mount Klappan),3 mill tonnes/year open pit coal mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,57.241|-128.892,,,,,
Aurora LNG Grassy Point,"LNG export facility planned for Grassy Point (North Side) including up to four LNG processing units, LNG storage tanks, and marine berth for loading of LNG vessels.",Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.62994|-130.441081,,,,,
Babcock Creek Wind Power,15MW Wind power project.,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,55.008858|-120.841029,,,,,
Baldy Ridge Extension (Elkview Operation),Open pit coal mine development.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,49.816667|-114.75,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,49.0181|-125.5553,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,49.042435|-122.317448,,,,,
Big Creek Hydroelectric Project,"A 73.6 MW hydroelectric project located on Big Creek, near its confluence with the Chilcotin River",Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,51.801592|-122.757351,,,,,
Blackwater,"Open pit gold and silver mine and ore processing facilities with a milling rate capacity of 60,000 t/d (22 Mt/y).  Project components include mine site, mine access road and a new 133 km transmission line.",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,53.1717565|-124.8641065,,,,,
Box Canyon,Proposed 15 mw Hydroelectric power ,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.6007|-123.4279,,,,,
Bremner Creek, Proposed 15 mw Hydroelectric power,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.6651|-122.0672,,,,,
Brucejack Gold Mine,Proposed underground high grade gold and silver mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,56.516|-130.223,,,,,
Bul River Mine,Reactivation of existing underground mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,49.504167|-115.381667,,,,,
Bullmoose Coal,Underground Coal Mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,55.180542|-121.356463,,,,,
Burnco Aggregate,"Sand and Gravel Pit, which is intended to produce high quality construction aggregates for use in BC's Lower Mainland. It is projected to conservatively exceed 24 million tonnes of sand and gravel (formerly McNab Aggregate Facility).",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,49.567087|-123.391061,,,,,
Canada Stewart Energy Project,"floating and land-based natural gas liquefaction plants, LNG storage, and marine loading facilities ",Published,proposed-project,,Mine,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,55.9358|-129.9908,,,,,
Canoe Pass,"Ocean energy project, generating 500kV of renewable energy.",Published,proposed-project,,Tide,BC Government | http://www.for.gov.bc.ca/major_projects/,50.135104|-125.345764,,,,,
Cape Scott Wind Farm Project,110 mw wind power project.,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,50.85067|-128.043594,,,,,
Carbon Creek Coal Mine,Coal exploration mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,55.940234|-122.65785,,,,,
Cariboo Gold,new gold mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,53.089|-121.57,,,,,
Castle Creek,6MW water power project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,53.091|-120.194,,,,,
Cedar LNG,LNG processing facilities ,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,53.925411|-128.727915,,,,,
Chu Molybdenum,"Open pit molybdenum mine with an anticipated production of up to 90,000 tonnes per day. ",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,53.61|-124.37,,,,,
Coal Mountain Phase 2,"Coal Mountain Operations (CMO) II. Open pit coal mine development. Greenfield development 
- Existing CMO coal processing and loading facilities will be used.",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,49.525431|-114.803524,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,49.44|-121.01,,,,,
