title,content,status,posttype,thumbnail,spilltype,cause,date,materials,companies,legal,environmental,sources,coords
Mount Polley Mine,"<p>Mount Polley is an open pit copper/gold mine with a developing underground project located in south-central British Columbia. The Mount Polley property covers 18,794 hectares, which consists of seven mining leases totalling 2,007 hectares, and 43 mineral claims encompassing 16,787 hectares. </p><p>On August 4, 2014 the tailings dam at the Mount Polley mine was breached.</p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vg3yd8GPSnA""></iframe>",Published,Spill,To Be Fixed,Other,Maintenance,2014,"25,000,000,000 Litres | Chemicals,","Imperial Metals | http://www.imperialmetals.com/,",,"Unknown as of yet, assumed to be impact on aquatic life","CBC | http://www.cbc.ca/news/canada/british-columbia/mount-polley-mine-spill-78-larger-than-1st-estimates-1.2755974,",52.5649515776803|-121.6329002380371
CN Coal Derailment,"<p>On January 11, 2014, three rail cars travelling on a CN rail line derailed, spilling approximately 270 tons of metallurgical coal. A smaller volume of coal entered Silver Creek, which flows to the Brunette River and Burnaby Lake. CN is required to develop and implement a plan to assess potential impacts and plan for any restoration and remediation at the site of the derailment. After the Ministry and other agencies reviewed the Recovery Plan, CN began recovery work in Silver Creek, the Brunette River and Burnaby Lake in February 2014.</p><p>Images from Vancouver Sun.</p>",Published,Spill,To Be Fixed,Train,Unknown,2014,"Unknown Litres | Other,","CN Rail | http://www.cn.ca/,",,,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2014/CN_Derailment.htm,",49.24304341817786|-122.9514741897583
Lemon Creek jet fuel spill,"<p>On July 26, 2013, a tanker truck carrying approximately 35,000 litres of Jet A1 fuel rolled into Lemon Creek in the Slocan Valley. The tanker was carrying fuel for helicopters fighting a forest fire in the area. Lemon Creek is a tributary of the Slocan River, which drains into the Kootenay River.</p><p>The company,&nbsp;Executive Flight Centre, says the province and helicopter company, not their drivers, are at fault. It&nbsp;argues it should not have to pay neither the $4-million cleanup costs incurred so far, nor any lawsuit payouts.</p><p>Photos from BC CTV News.</p>",Published,Spill,To Be Fixed,Automobile,Mechanical,2013,"35,000 Litres | Other,","Executive Flight Centre | http://www.executiveflightcentre.com/,","Winlaw resident Robert Kirk says wildlife is gone and ducks, heron and deer have been pulled dead from the river since 35,000 litres of jet fuel poured into the waterway after a tanker dumped its load into nearby Lemon Creek in late July.",4 million dollar cost,"CBC | http://www.cbc.ca/news/canada/british-columbia/slocan-s-lemon-creek-fuel-spill-blamed-on-bad-directions-1.2466227,CBC | http://www.cbc.ca/news/canada/british-columbia/lawsuit-filed-over-lemon-creek-jet-fuel-spill-1.1338871,BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2013/lemon_creek.htm,",49.70175217434083|-117.4801969528198
Arrow Transportation truck,<p>A single vehicle motor vehicle incident occurred involving a â€œBâ€ train Ore Concentrate truck.  The vehicle was travelling south from a mine site on Likely Road to a rail collection facility when the incident occurred.  It rolled down an embankment and into a marshy area of a small creek. The driver was uninjured in the collision.  The incident resulted in the fine material dumping out of the truck and in to the water course.</p><p>Photo from Williams Lake Tribune.</p>,Published,Spill,To Be Fixed,Automobile,Unknown,2012,"300 Litres | Diesel,30000 Litres | Other,","Arrow Transportation | http://www.arrow.ca/,",,,"Williams Lake Tribune | http://www.wltribune.com/breaking_news/140371643.html?mobile=true,BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2012/arrow_trans_will_lk.htm,",52.21278719798229|-121.9698286056519
CN Rail Coal Train,<p>A derailment of a coal train resulted in 33 rail cars leaving the tracks. The derailment occurred immediately adjacent to the Fraser River. A small marsh that drains into the Fraser River was directly impacted.</p><p>Photos from the Rocky Mountain Goat.</p>,Published,Spill,To Be Fixed,Train,Unknown,2011,"33,000,000 Litres | Other,","CN Rail | http://www.cn.ca/,",,,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2011/coal_train_valemount.htm,The Rocky Mountain Goat | http://www.therockymountaingoat.com/2012/05/derailment-south-of-valemount-two-containers-plunge-into-north-thompson-river/,",52.97415201765821|-119.4173955917358
Superior Propane and Penner truck spill,"A motor vehicle incident involving three commercial transport trucks. Two were not carrying dangerous good and the third was an empty propane truck.  Weather conditions were extremely poor at the time of the incident.  One driver was killed in the accident. The incident ruptured the fuel tanks on two of the trucks, spilling the diesel to the road way and ditches. While the propane truck was considered empty it still had a small amount of product on board, specialized crews were dispatched to flair off the remaining product to ensure the vehicle could be handled safely.",Published,Spill,To Be Fixed,Automobile,Other,2011,"1600 Litres | Diesel,Unknown Litres | Other,","Penner | http://www.penner.ca/,Superior Propane | http://www.superiorpropane.com,",,,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2011/penner_yellowhead.htm,",52.86296382418872|-118.5300350189209
Kinder Morgan oil spill,"Approximately 50 homes, property, and a section of the Barnett Highway were impacted when the 24 inch pipeline was ruptured, resulting in a 30 meter geyser of oil spraying into the air and covering the surrounding area with oil over approximately a 25 minute period. Subsequently the oil seeped into the surrounding soil, storm drains, sewer lines and along other down gradient pathways. The oil moving through the storm drain system eventually reached the marine waters of Burrard Inlet below the spill site where it began to spread further with wind and tides.

11 homes were severely impacted with oiling and numerous residents have been displaced from the area. The Barnett highway was closed for several days due to the oil covering the area and the need for cleanup activities. The marine environment in Burrard Inlet and approximately 1200 meters of shoreline have also been affected.",Published,Spill,To Be Fixed,Pipeline,Human Error,2007,"234,000 Litres | Oil,","Kinder Morgan | http://www.kindermorgan.com/,",,Many and complex,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2007/burnaby_oil_spill_07.htm,Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2007/p07h0040/p07h0040.asp,Report from Stantec Consulting | https://docs.neb-one.gc.ca/ll-eng/llisapi.dll/fetch/2000/90464/90552/548311/956726/2392873/2558704/2679810/B311-2_-_EIS_Final_Report_May_2010-Pt_01_-_A4H6G4.pdf?nodeid=2685109&vernum=-2,",49.28933439305885|-122.9498434066772
Malahat fuel truck crash,"<p>On Saturday April 16, a truck carrying fuel was involved in an accident on the Malahat Highway near Goldstream Park. The tank carrying fuel ruptured and spilled the contents into a ditch along the highway. The gasoline and diesel flowed through a culvert beneath the highway that discharged into the Goldstream River. Approximately 42,000 L of gasoline and 600 L of diesel were released from the truck. While some of the fuel was recovered with vacuum trucks at the spill site and during the remedial excavation at the road side, fuel did enter the river which flowed into the estuary and Saanich Inlet.</p><p>Photo by Adrian Lam.</p>",Published,Spill,To Be Fixed,Automobile,Human Error,2011,"42,000 Litres | Gasoline,600 Litres | Diesel,","Columbia Fuels | http://www.columbiafuels.com/,",Pled guilty dangerous driving and violating the Fisheries Act. Charges of impaired driving and two charges under the Environmental Management Act were stayed.,,"Times Colonist | http://www.timescolonist.com/news/fuel-truck-crash-on-malahat-near-goldstream-risked-many-lives-court-told-1.23275,Columbia Fuels | http://www.columbiafuels.com/documents/Malahat.pdf,BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2011/goldstream_spill.pdf,",48.47565256743914|-123.5494995117188
MV Westwood Annette,"<p>The M/V Westwood Anette, departing under tow from the Squamish docks during high wind conditions, punctured a starboard fuel tank on a metal piling. The high winds blew the oil on the shore near the terminal and into the estuary of the Squamish River. The estuary marshes were heavily contaminated, and there was oiling up Howe Sound. Several Canadian Geese were oiled.&nbsp;</p>",Published,Spill,To Be Fixed,Ship,Other,2006,"29,000 Litres | Oil,","Gearbulk Holding Ltd. | http://www.gearbulk.com/,",,Highly contaminated,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2006/westwood_06.htm,",49.66940543457046|-123.1704711914062
Queen of the North,"<p>While travelling from Prince Rupert to Port Hardy, the Queen of the North sank after running aground on Gil Island in Wright Sound, 135 Kilometres south of Prince Rupert. The spill was caused by the sinking of the Ferry after it hit Gill Island then drifted offshore and sank releasing much of its fuel product. </p><p>While travelling from Prince Rupert to Port Hardy, the Queen of the North sank after running aground on Gil Island in Wright Sound, 135 Kilometres south of Prince Rupert. At approximately 12:25 am on Wednesday, March 22, 2006 the Queen of the North ran aground. </p><p>The vessel sank approximately 1 hour afterward.Product/Quantity Spilled 1The vessel was loaded with 225,000 litres of diesel fuel, 15,000 litres of light oil, 3,200 litres of hydraulic fluid and 3,200 litres of stern tube oil.</p><p>The spill was caused by the sinking of the Ferry after it hit Gill Island then drifted offshore and sank releasing much of its fuel product.Environmental Setting and ImpactsWright Sound and surrounding area is rich in marine life. It is a major vessel transportation route of the Inside Passage. The coastal waters are important for First Nationsâ€™ fisheries and economies.&nbsp;</p>",Published,Spill,To Be Fixed,Ship,Unknown,2006,"225,000 Litres | Diesel,15,000 Litres | Oil,3200 Litres | Other,3200 Litres | Oil,","BC Ferry Services | http://www.bcferries.com/,",,Extensive and ongoing,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2006/queen_north_06.htm,Huffington Post | http://www.huffingtonpost.ca/2013/02/05/queen-of-the-north-sinking-trial-black-box_n_2626014.html,",53.30954453785311|-129.2170715332031
